Symbol,Close,Open,Low,High,Average Price,Volume,Value,Market Cap,Previous Close,Trades,Net Foreign,Sector,Subsector,52-Week High,Earnings Per Share TTM (EPS),Price to Book Value (P/BV),52-Week Low,Price-Earnings Ratio TTM (P/E),Return on Equity (ROE),Fair Value,Dividends Per Share (DPS),Support 1,Resistance 1,Short-Term Trend,Support 2,Resistance 2,Medium-Term Trend,Week to Date %,Year to Date %,Month to Date %,MA 20,MA 20 status,MA 50,MA 50 status,MA 100,MA 100 status,MA 200,MA 200 status,RSI(14),MACD(12 26 9),ATR(14),CCI(20),STS(14 3 3),Williams %R(14),VolumeSMA(15),CandleStick(1),RVol,RvolIndicator,AOTS,Reversal
APB2R,503.00,499.20,499.20,503.00,502.29,3850,1930000,15090000000,515.50,7,0,None,None,530.00,0.00 (0.00%),0.00,480.00,0.00,0.00%,-,-,495.00,522.00,UPTREND,482.50,530.00,SIDEWAYS,-2.42%,-2.42%,-2.42%,506.63,BEARISH,510.81,BEARISH,509.10,BEARISH,504.21,BEARISH,46.82,0.0203 -0.1444,8.7204 (1.73%),-76.5948,0.0000,-70.3704,23396.00,White Marubozu,0.14,No,Buy in Tranches,Buy in tranches
DMW,7.60,7.60,7.45,7.60,7.52,226200,1700000,25810000000,7.60,64,0,Property,Property,9.78,0.78 (11.43%),1.21,5.05,9.74,13.50%,-,-,7.34,7.69,UPTREND,5.93,8.36,UPTREND,0.00%,0.00%,0.00%,7.18,BULLISH,6.19,BULLISH,5.97,BULLISH,6.35,BULLISH,63.88,0.4736 0.5061,0.3220 (4.24%),41.5825,59.9095,-45.5026,573853.33,Dragonfly Doji,0.41,No,Yes,No
UBP,71.95,71.90,71.00,72.00,71.83,23840,1710000,87670000000,71.90,83,0,Financial,Banks,72.00,11.43 (50.00%),0.86,49.00,6.29,12.96%,-,-,68.75,71.98,UPTREND,65.15,71.98,UPTREND,0.07%,0.07%,0.07%,68.68,BULLISH,62.80,BULLISH,58.37,BULLISH,56.21,BULLISH,76.03,2.4289 2.4496,1.2430 (1.73%),104.5885,98.2682,-0.8475,55644.67,Hammer,0.42,No,Yes,No
AB,8.13,7.90,7.65,8.20,7.83,198100,1550000,20690000000,7.99,89,0,Mining And Oil,Mining,17.20,0.00 (100.00%),37.14,6.66,0.00,-0.76%,-,-,7.82,8.59,DOWNTREND,6.95,10.44,DOWNTREND,1.75%,1.75%,1.75%,8.86,BEARISH,9.43,BEARISH,8.70,BEARISH,9.49,BEARISH,36.61,-0.3189 -0.1986,0.6214 (7.64%),-125.6111,7.9107,-85.1393,488473.33,None,0.33,No,No,Buy in tranches,Reversal soon
MFC,800.00,800.00,800.00,800.00,800.00,2000,1600000,1550000000000,820.00,11,0,Financial,Other Financial Institutions,880.00,95.6133 (7.76%),0.87,600.00,8.37,10.35%,-,-,788.00,820.00,UPTREND,730.50,858.00,UPTREND,-2.44%,-2.44%,-2.44%,790.95,BULLISH,763.82,BULLISH,721.28,BULLISH,757.06,BULLISH,55.21,13.0193 13.0700,15.4550 (1.93%),35.6411,79.1667,-62.5000,770.67,White Marubozu,2.08,Yes,Yes,Reversal soon
ALCO,0.63,0.65,0.62,0.66,0.63,2440000,1530000,3350000000,0.65,100,0,Property,Property,0.90,0.24 (60.00%),0.66,0.40,2.71,12.43%,-,-,0.62,0.68,SIDEWAYS,0.57,0.74,UPTREND,-3.08%,-3.08%,-3.08%,0.69,BEARISH,0.64,BEARISH,0.59,BULLISH,0.57,BULLISH,41.20,0.0023 0.0152,0.0355 (5.64%),-104.5045,12.8205,-92.3077,2335133.33,None,0.96,No,Yes,No
ABG,9.86,10.38,9.70,10.44,9.95,145700,1450000,2960000000,10.38,69,0,Holding Firms,Holding Firms,12.52,-0.01 (0.00%),11.80,5.05,-1038.00,-0.78%,-,-,9.44,10.74,UPTREND,8.32,11.88,UPTREND,-5.01%,-5.01%,-5.01%,9.18,BULLISH,8.67,BULLISH,8.25,BULLISH,8.02,BULLISH,58.93,0.3956 0.2766,0.6312 (6.40%),106.8896,72.0819,-40.4332,135513.33,Black Long Day,0.92,No,Yes,No
MAH,1.93,1.87,1.84,1.93,1.88,718000,1350000,354490000,1.87,98,0,Service,Transporation Services,3.30,0.05 (400.00%),4.07,0.89,37.40,15.20%,-,-,1.84,2.04,DOWNTREND,1.66,2.30,UPTREND,3.21%,3.21%,3.21%,2.11,BEARISH,2.04,BEARISH,1.90,BULLISH,2.01,BEARISH,39.06,-0.0301 0.0080,0.1148 (5.95%),-168.9721,16.1336,-75.9259,1300200.00,White Long Day,0.49,No,Yes,Reversal soon
BHI,0.0390,0.04,0.0380,0.04,0.0390,34400000,1340000,468000000,0.0390,72,0,Service,Hotel & Leisure,0.0610,0.00 (0.00%),0.29,0.0230,0.00,-2.73%,-,-,0.0380,0.0415,UPTREND,0.0330,0.0480,UPTREND,0.00%,0.00%,0.00%,0.0398,BEARISH,0.0331,BULLISH,0.0310,BULLISH,0.0292,BULLISH,52.65,0.0020 0.0028,0.0031 (7.93%),-14.1007,35.4167,-62.5000,261166666.6667,None,0.11,No,Yes,No
LIHC,0.80,0.83,0.78,0.83,0.79,1550000,1230000,2400000000,0.83,48,0,Holding Firms,Holding Firms,0.94,0.00 (0.00%),10.38,0.37,0.00,-0.23%,-,-,0.79,0.88,UPTREND,0.76,0.92,UPTREND,-3.61%,-3.61%,-3.61%,0.84,BEARISH,0.79,BULLISH,0.70,BULLISH,0.61,BULLISH,43.69,0.0108 0.0207,0.0507 (6.34%),-91.2846,19.7222,-87.5000,2045333.33,None,0.62,No,Yes,No
CPM,2.91,2.95,2.83,2.95,2.91,416000,1210000,8210000000,2.94,51,0,Mining And Oil,Mining,3.26,-0.03 (0.00%),3.31,2.26,-98.33,-4.85%,-,-,2.48,2.96,UPTREND,2.30,3.10,SIDEWAYS,-1.02%,-1.02%,-1.02%,2.53,BULLISH,2.52,BULLISH,2.58,BULLISH,2.66,BULLISH,73.53,0.0787 0.0277,0.1093 (3.76%),254.4587,94.5274,-10.4478,910266.67,Hanging Man,0.39,No,No,Buy in tranches
I,1.61,1.67,1.52,1.67,1.61,733000,1180000,984740000,1.68,85,0,Financial,Other Financial Institutions,2.45,-0.08 (-300.00%),0.80,0.83,-20.88,-11.18%,-,-,1.56,1.91,UPTREND,1.29,2.42,UPTREND,-4.17%,-4.17%,-4.17%,1.57,BULLISH,1.34,BULLISH,1.21,BULLISH,1.14,BULLISH,52.21,0.1356 0.1385,0.1741 (10.82%),7.8572,34.7701,-72.4138,2167866.67,Hanging Man,0.27,No,Yes,No
DELM,7.26,7.20,7.20,7.40,7.26,158800,1150000,14110000000,7.21,50,0,Industrial,Food Beverage & Tobacco,8.50,0.87 (139.91%),0.70,2.50,8.29,4.55%,-,-,7.20,7.93,UPTREND,5.68,8.30,UPTREND,0.69%,0.69%,0.69%,7.03,BULLISH,5.87,BULLISH,5.38,BULLISH,4.67,BULLISH,60.02,0.5387 0.6042,0.3210 (4.42%),23.4838,52.0997,-52.1008,384840.00,Inverted Hammer,0.35,No,Yes,No
HI,4.00,4.02,4.00,4.15,4.01,275000,1100000,3110000000,4.02,13,0,Holding Firms,Holding Firms,6.24,-0.19 (-116.81%),0.14,2.77,-21.16,-1.93%,-,-,3.97,4.22,UPTREND,3.64,4.56,UPTREND,-0.50%,-0.50%,-0.50%,4.16,BEARISH,3.76,BULLISH,3.45,BULLISH,3.80,BULLISH,48.61,0.0911 0.1524,0.1463 (3.66%),-61.5688,0.0000,-91.3043,80600.00,Shooting Star,2.99,Yes,Yes,Reversal soon
NRCP,0.72,0.63,0.60,0.75,0.66,1510000,1000000,1530000000,0.67,132,0,Financial,Other Financial Institutions,0.91,-0.02 (-116.67%),0.24,0.52,-31.50,3.28%,-,-,0.64,0.74,UPTREND,0.62,0.78,UPTREND,7.46%,7.46%,7.46%,0.70,BULLISH,0.64,BULLISH,0.63,BULLISH,0.64,BULLISH,56.56,0.0184 0.0227,0.0540 (7.49%),3.1898,42.5804,-36.8421,888666.67,None,1.4,No,Yes,Reversal soon
DAVIN,5.11,5.11,5.08,5.15,5.11,196500,1000000,5750000000,5.28,51,0,Industrial,Construction Infra. & Allied Services,6.64,0.00 (0.00%),511.00,3.10,0.00,-4.97%,-,-,5.08,6.34,UPTREND,4.52,6.54,UPTREND,-3.22%,-3.22%,-3.22%,5.26,BEARISH,4.94,BULLISH,4.43,BULLISH,5.00,BULLISH,48.22,0.1325 0.1575,0.3204 (6.27%),-50.3531,16.4634,-93.2927,295573.33,Doji,0.55,No,Yes,Reversal soon
BC,3.20,3.10,3.10,3.28,3.17,308000,975060,1190000000,3.10,48,0,Mining And Oil,Mining,3.50,0.06 (-76.00%),0.49,0.70,51.67,-2.00%,-,-,3.06,3.24,SIDEWAYS,2.79,3.44,SIDEWAYS,3.23%,3.23%,3.23%,3.14,BULLISH,3.07,BULLISH,2.80,BULLISH,2.01,BULLISH,60.77,0.0146 0.0210,0.1183 (3.70%),266.8793,54.8889,-32.0000,111666.67,None,2.4,Yes,Yes,No
CYBR,0.3550,0.33,0.3250,0.3550,0.3438,2740000,942000,2420000000,0.33,46,0,Property,Property,0.45,0.00 (0.00%),-0.44,0.21,0.00,0.09%,-,-,0.3275,0.3850,UPTREND,0.2900,0.4200,DOWNTREND,7.58%,7.58%,7.58%,0.3588,BEARISH,0.3737,BEARISH,0.3235,BULLISH,0.3149,BULLISH,47.33,-0.0029 -0.0003,0.0212 (5.97%),-56.3916,19.6079,-64.7059,15216666.6667,White Long Day,0.21,No,No,No
FERRO,3.94,3.90,3.90,4.00,3.93,245000,963950,1030000000,4.08,77,0,Financial,Other Financial Institutions,6.25,0.00 (-100.00%),0.00,2.30,0.00,-1.22%,-,-,3.92,4.30,UPTREND,3.70,5.68,UPTREND,-3.43%,-3.43%,-3.43%,4.24,BEARISH,3.87,BULLISH,3.35,BULLISH,3.16,BULLISH,45.38,0.0914 0.1760,0.3353 (8.51%),-53.8443,13.7484,-89.8833,1848720.00,None,0.11,No,Yes,No
ACPB1,515.00,520.00,515.00,520.00,515.41,1830,943200,10300000000,520.00,2,0,None,None,520.00,0.00 (0.00%),0.00,491.00,0.00,0.00%,-,-,514.00,520.00,SIDEWAYS,498.20,520.00,SIDEWAYS,-0.96%,-0.96%,-0.96%,514.65,BULLISH,514.14,BULLISH,512.85,BULLISH,507.23,BULLISH,51.25,0.7775 0.5415,1.5938 (0.31%),119.8613,79.1667,-62.5000,1092.67,Black Marubozu,1.39,No,Yes,Reversal soon
RCB,18.68,18.94,18.68,18.98,18.86,49400,931760,36160000000,18.88,39,0,Financial,Banks,23.45,2.46 (-15.46%),0.43,14.00,7.70,4.92%,-,-,18.43,19.24,SIDEWAYS,17.35,21.28,UPTREND,-1.06%,-1.06%,-1.06%,19.05,BEARISH,18.21,BULLISH,17.29,BULLISH,17.27,BULLISH,47.16,0.2013 0.3177,0.3597 (1.93%),-93.7430,13.9535,-100.0000,82320.00,Black Long Day,0.6,No,Yes,No
ELI,0.3150,0.31,0.3050,0.32,0.3115,2860000,890900,4620000000,0.3150,47,0,Property,Property,0.43,0.04 (33.33%),0.18,0.2050,7.75,1.50%,-,-,0.3100,0.3400,SIDEWAYS,0.2900,0.3600,UPTREND,0.00%,0.00%,0.00%,0.3300,BEARISH,0.3092,BULLISH,0.2865,BULLISH,0.2949,BULLISH,44.42,0.0029 0.0072,0.0144 (4.58%),-141.8440,0.0000,-80.0000,5920666.6667,None,0.5,No,Yes,No
OV,0.0120,0.0110,0.01,0.0120,0.0110,73800000,812400,2300000000,0.0110,25,0,Mining And Oil,Oil,0.0120,0.00 (0.00%),1.10,0.0060,0.00,-2.64%,-,-,0.0105,0.0125,UPTREND,0.0082,0.0130,UPTREND,9.09%,9.09%,9.09%,0.0101,BULLISH,0.0092,BULLISH,0.0091,BULLISH,0.0088,BULLISH,66.77,0.0007 0.0007,0.0008 (6.61%),76.2643,82.2191,0.0000,162606666.6667,None,0.41,No,Yes,No
SEVN,120.00,119.90,117.30,120.00,119.16,6760,805500,90770000000,119.80,53,0,Service,Retail,158.00,0.22 (-88.83%),12.55,106.00,545.00,5.99%,-,-,117.00,121.75,UPTREND,106.00,125.50,SIDEWAYS,0.17%,0.17%,0.17%,115.75,BULLISH,113.03,BULLISH,116.62,BULLISH,124.11,BEARISH,60.70,2.5676 2.3630,3.3676 (2.81%),43.4305,60.8984,-39.3258,38124.67,Hammer,0.15,No,No,Buy in tranches
LR,1.88,1.94,1.86,1.94,1.89,426000,803190,4540000000,1.92,46,0,Service,Casinos & Gaming,3.10,-0.30 (-400.00%),0.44,1.02,-6.47,-9.58%,-,-,1.87,2.05,UPTREND,1.64,2.14,UPTREND,-2.08%,-2.08%,-2.08%,1.95,BEARISH,1.74,BULLISH,1.51,BULLISH,1.48,BULLISH,49.03,0.0598 0.0886,0.0932 (4.96%),-49.3441,18.7500,-87.5000,1025800.00,Black Long Day,0.35,No,Yes,No
